"Name","State","Tags","Created","add_gaussian_noise","batch_size","corrector_name","dataset","do_sample","max_samples","model_name","noise_lambda","num_steps","sequence_beam_width","max_seq_length","top_p","ada_emb_cos_sim_mean","ada_emb_cos_sim_sem","bleu","bleu_score","bleu_score_sem","emb_cos_sim","emb_cos_sim_sem","exact","exact_match","exact_match_sem","f1","n_ngrams_match_1","n_ngrams_match_2","n_ngrams_match_3","num_pred_words","num_true_words","rouge_score","token_set_f1","token_set_f1_sem","token_set_precision","token_set_recall"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-50_beam-0_nucleus-False","finished","seq_len_influence","2024-12-05T19:05:26.000Z","false","128","text-embedding-ada-002","msmarco","false","256","Xenova/text-embedding-ada-002","0.1","50","0","16","","0.9146199226379396","0.003306182101368904","","41.36093961075516","1.8518836749164724","","","","0.09765625","0.0185894242372986","","7.77734375","5.14453125","3.6953125","11.7265625","11.99609375","0.6740312328978679","0.6630597897781253","0.01377583295556764","0.6602728326361134","0.6712928239295424"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-50_beam-0_nucleus-False","finished","seq_len_influence","2024-12-05T19:00:27.000Z","false","128","text-embedding-ada-002","msmarco","false","256","Xenova/text-embedding-ada-002","0.1","50","0","128","","0.9866778254508972","0.0010862104827538133","","47.069153999597766","1.5068745622200497","","","","0.03515625","0.011533461648261191","","45.765625","29.7890625","21.8671875","60.11328125","59.6953125","0.7971454113826946","0.7943667106576068","0.009297372456395902","0.7757010932744577","0.8173307226680697"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-50_beam-0_nucleus-False","finished","seq_len_influence","2024-12-05T19:23:58.000Z","false","128","text-embedding-ada-002","msmarco","false","256","Xenova/text-embedding-ada-002","0.1","50","0","80","","0.9824748635292052","0.0012123932829126716","","44.91268658460576","1.5373585761740376","","","","0.04296875","0.012698994328475656","","40.10546875","25.84765625","19.0078125","52.875","52.8984375","0.7823914537768001","0.7836165819180743","0.009420717722491149","0.7628819951184765","0.8103847188220131"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-50_beam-0_nucleus-False","finished","seq_len_influence","2024-12-05T19:17:02.000Z","false","128","text-embedding-ada-002","msmarco","false","256","Xenova/text-embedding-ada-002","0.1","50","0","64","","0.9719769954681396","0.002005970338359475","","43.42677671031667","1.5345605304343684","","","","0.03515625","0.011533461648261191","","34.71484375","22.4609375","16.62109375","46.82421875","46.83203125","0.7577849419651448","0.7622728414180959","0.009962132956033792","0.7471281133967383","0.7824908073877213"
"model-Xenova/text-embedding-ada-002_corrector-text-embedding-ada-002_steps-50_beam-0_nucleus-False","finished","seq_len_influence","2024-12-05T19:11:04.000Z","false","128","text-embedding-ada-002","msmarco","false","256","Xenova/text-embedding-ada-002","0.1","50","0","32","","0.9028099775314332","0.0030734403990209103","","37.60381878546091","1.5312435998241798","","","","0.02734375","0.010212654460096235","","16.29296875","10.46484375","7.5703125","24.41796875","24.57421875","0.6770950909977973","0.6803473282232555","0.010352154007770963","0.6685612927647614","0.6979043837589511"
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-50_beam-0_nucleus-False","finished","seq_len_influence","2024-12-03T18:08:25.000Z","false","128","gtr-base","nq","false","1000","sentence-transformers/gtr-t5-base","0.1","50","0","100","","0.8737749457359314","0.0011970988707616923","","1.5103255101001527","0.03667766456015417","","","","0","0","","14.969","4.436","1.551","25.377","78.801","0.28727953677031864","0.32095409700799554","0.0023216585312556062","0.22562507156636152","0.5622966299889017"
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-50_beam-0_nucleus-False","finished","seq_len_influence","2024-12-03T18:27:52.000Z","false","128","gtr-base","nq","false","1000","sentence-transformers/gtr-t5-base","0.1","50","0","64","","0.901120662689209","0.0011087587336078286","","7.61286947766084","0.1736527536232147","","","","0","0","","16.68","6.828","3.298","25.403","50.127","0.4420777062347592","0.4683214805967","0.0030894315483899616","0.37131298483998143","0.6381900554344162"
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-50_beam-0_nucleus-False","finished","seq_len_influence","2024-12-03T18:13:44.000Z","false","128","gtr-base","nq","false","1000","sentence-transformers/gtr-t5-base","0.1","50","0","16","","0.9570157527923584","0.001501950086094439","","71.14059331825518","0.9936529092601156","","","","0.392","0.015445859463771338","","9.953","8.221","6.898","11.457","11.924","0.8553050477448387","0.8539717697445748","0.0059203007188037594","0.8270186646686649","0.8929843822843825"
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-50_beam-0_nucleus-False","finished","seq_len_influence","2024-12-03T18:39:38.000Z","false","128","gtr-base","nq","false","1000","sentence-transformers/gtr-t5-base","0.1","50","0","80","","0.8857192397117615","0.0011405427940189838","","3.484110308128726","0.08627121883869321","","","","0","0","","15.601","5.376","2.164","25.482","62.909","0.3521736844832567","0.38155727720015514","0.0026578108649142674","0.2835145923718552","0.5881210014164898"
"model-sentence-transformers/gtr-t5-base_corrector-gtr-base_steps-50_beam-0_nucleus-False","finished","seq_len_influence","2024-12-03T18:20:43.000Z","false","128","gtr-base","nq","false","1000","sentence-transformers/gtr-t5-base","0.1","50","0","32","","0.9848631024360656","0.0009132431005127728","","84.57252197880294","0.7430057680080119","","","","0.597","0.015518757419066512","","23.449","20.664","18.67","24.552","24.584","0.9565869331918316","0.9548605502667636","0.002890096880581311","0.9534113669232304","0.9567984583481988"
